500,02:
154,64331232 94,2849593; 25,64331232 17,2849593; 21,64331232 17,2849593;
14,5104423 41,6829329; 14,64331232 74,2849593; 263,64331232 349,2849593;
17,86958494 32,07774823; 472,64331232 177,2849593; 17,64331232 69,2849593;
34,64331232 10,2849593; 17,64331232 26,2849593; 28,64331232 74,2849593;
25,2104423 22,6829329; 28,64331232 41,2849593; 160,64331232 74,2849593;
102,86958494 75,07774823; 210,64331232 244,2849593; 338,64331232 77,2849593;
65,64331232 94,2849593; 60,64331232 39,2849593; 160,64331232 74,2849593;
66,51044233 254,6829329; 70,64331232 44,2849593; 29,64331232 11,2849593;
7,86958494 32,07774823; 11,64331232 22,2849593; 17,64331232 37,2849593;      
154,64331232 254,2849593; 34,64331232 15,2849593; 27,64331232 39,2849593;
43,51044233 94,6829329; 261,64331232 244,2849593; 7,64331232 37,2849593;
34,86958494 11,07774823; 102,64331232 74,2849593; 71,64331232 59,2849593;
40,86958494 59,07774823; 71,64331232 91,2849593; 40,64331232 91,2849593;
81,66958494 37,07774823; 41,64331232 11,2849593; 70,64331232 14,2849593;
10,86958494 22,07774823; 42,64331232 69,2849593; 151,64331232 80,2849593;
17,86958494 10,07774823; 80,64331232 45,2849593; 55,64331232 25,2849593;
25,86958494 11,07774823; 25,64331232 13,2849593;        
